Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD1301,13.0,1.0,3.0,3.0,2.0,6.0,1.0,2.0,6.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0
STUD1302,21.0,4.0,3.0,4.0,1.0,5.0,5.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0
STUD1303,12.0,3.0,3.0,2.0,2.0,10.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0
STUD1304,23.0,3.0,3.0,3.0,2.0,6.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0
STUD1305,19.0,3.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0
STUD1306,19.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,6.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0
STUD1307,28.0,4.0,3.0,4.0,2.0,7.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0
STUD1308,19.0,2.0,2.0,6.0,2.0,10.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0
STUD1309,21.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0
STUD1310,27.0,3.0,2.0,3.0,2.0,10.0,2.0,1.0,7.0,3.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0
STUD1311,17.0,4.0,2.0,6.0,2.0,6.0,4.0,1.0,6.0,3.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,4.0,1.0
STUD1312,21.0,4.0,1.0,1.0,2.0,9.0,5.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0
STUD1313,13.0,4.0,3.0,5.0,1.0,6.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0
STUD1314,29.0,1.0,2.0,3.0,2.0,7.0,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0
STUD1315,25.0,3.0,1.0,4.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,1.0,4.0,2.0
STUD1316,21.0,3.0,3.0,3.0,2.0,8.0,2.0,1.0,6.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0
STUD1317,22.0,3.0,3.0,1.0,2.0,7.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
STUD1318,12.0,3.0,2.0,5.0,2.0,10.0,1.0,2.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0
STUD1319,26.0,1.0,3.0,7.0,2.0,0.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0
STUD1320,30.0,1.0,2.0,6.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,5.0,2.0
STUD1321,18.0,2.0,3.0,4.0,2.0,6.0,3.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0
STUD1322,21.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0
STUD1323,18.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0
STUD1324,18.0,2.0,3.0,4.0,2.0,9.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
STUD1325,15.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,6.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0
STUD1326,15.0,4.0,1.0,6.0,1.0,5.0,3.0,2.0,6.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,6.0,2.0
STUD1327,18.0,4.0,2.0,3.0,1.0,10.0,5.0,2.0,5.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0
STUD1328,23.0,1.0,1.0,1.0,2.0,9.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0
STUD1329,22.0,4.0,1.0,4.0,2.0,0.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0
STUD1330,16.0,1.0,3.0,3.0,2.0,9.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0
STUD1331,18.0,2.0,2.0,5.0,2.0,8.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0
STUD1332,27.0,1.0,3.0,5.0,2.0,5.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0
STUD1333,14.0,3.0,1.0,5.0,2.0,8.0,3.0,2.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,5.0,2.0
STUD1334,23.0,2.0,2.0,1.0,1.0,8.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,6.0,1.0
STUD1335,30.0,3.0,1.0,4.0,1.0,6.0,1.0,2.0,3.0,3.0,4.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0
STUD1336,16.0,3.0,3.0,4.0,1.0,1.0,5.0,2.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0
STUD1337,28.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0
STUD1338,28.0,4.0,2.0,6.0,2.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0
STUD1339,22.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,5.0,1.0
STUD1340,16.0,4.0,3.0,6.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0
STUD1341,21.0,1.0,3.0,7.0,1.0,8.0,1.0,2.0,7.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,6.0,1.0
STUD1342,22.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,5.0,2.0,5.0,3.0,2.0,1.0,1.0,6.0,1.0
STUD1343,14.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0
STUD1344,17.0,2.0,2.0,7.0,2.0,10.0,5.0,2.0,5.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,2.0,2.0
STUD1345,22.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,7.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0
STUD1346,12.0,1.0,3.0,4.0,1.0,6.0,2.0,1.0,4.0,1.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,1.0
STUD1347,29.0,4.0,3.0,4.0,1.0,9.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,5.0,1.0
STUD1348,21.0,3.0,1.0,7.0,2.0,10.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0
STUD1349,25.0,2.0,3.0,7.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0
STUD1350,20.0,4.0,2.0,4.0,1.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0
STUD1351,28.0,1.0,3.0,3.0,1.0,8.0,3.0,1.0,6.0,1.0,5.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0
STUD1352,30.0,4.0,3.0,6.0,1.0,5.0,2.0,2.0,7.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0
STUD1353,19.0,4.0,1.0,6.0,2.0,9.0,3.0,1.0,4.0,1.0,5.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0
STUD1354,17.0,4.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0
STUD1355,25.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0
STUD1356,29.0,3.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,6.0,1.0
STUD1357,30.0,3.0,3.0,3.0,1.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0
STUD1358,15.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
STUD1359,29.0,1.0,1.0,7.0,1.0,1.0,3.0,1.0,7.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0
STUD1360,21.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0
STUD1361,15.0,1.0,2.0,2.0,1.0,8.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0
STUD1362,13.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
STUD1363,21.0,3.0,1.0,5.0,2.0,5.0,3.0,1.0,7.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0
STUD1364,20.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,2.0
STUD1365,26.0,3.0,2.0,2.0,2.0,7.0,2.0,2.0,7.0,3.0,2.0,2.0,5.0,3.0,1.0,3.0,2.0,3.0,2.0
STUD1366,22.0,2.0,3.0,3.0,2.0,10.0,2.0,1.0,2.0,3.0,4.0,2.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0
STUD1367,24.0,4.0,2.0,4.0,1.0,3.0,5.0,1.0,4.0,1.0,5.0,2.0,4.0,3.0,2.0,2.0,1.0,6.0,2.0
STUD1368,16.0,3.0,2.0,6.0,2.0,0.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,2.0
STUD1369,28.0,1.0,3.0,2.0,1.0,5.0,5.0,2.0,6.0,3.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,2.0
STUD1370,24.0,4.0,1.0,7.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,1.0
STUD1371,17.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0
STUD1372,27.0,4.0,1.0,2.0,2.0,7.0,1.0,1.0,7.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0
STUD1373,19.0,2.0,1.0,2.0,2.0,5.0,3.0,1.0,6.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,6.0,1.0
STUD1374,15.0,4.0,1.0,4.0,1.0,9.0,4.0,1.0,5.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0
STUD1375,21.0,4.0,1.0,6.0,1.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0
STUD1376,16.0,2.0,3.0,7.0,2.0,1.0,4.0,1.0,5.0,3.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0
STUD1377,21.0,3.0,1.0,3.0,1.0,9.0,3.0,2.0,6.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0
STUD1378,28.0,4.0,2.0,7.0,2.0,2.0,3.0,1.0,6.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0
STUD1379,25.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,6.0,1.0
STUD1380,19.0,3.0,2.0,4.0,2.0,4.0,3.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0
STUD1381,21.0,4.0,3.0,7.0,2.0,9.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0
STUD1382,16.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,6.0,2.0
STUD1383,19.0,2.0,1.0,3.0,1.0,9.0,2.0,2.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
STUD1384,15.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,6.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0
STUD1385,13.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,6.0,1.0
STUD1386,20.0,3.0,2.0,4.0,2.0,4.0,3.0,1.0,7.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,5.0,1.0
STUD1387,25.0,4.0,1.0,4.0,2.0,6.0,5.0,1.0,5.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0
STUD1388,18.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0
STUD1389,13.0,2.0,2.0,5.0,1.0,0.0,5.0,2.0,6.0,3.0,2.0,2.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0
STUD1390,23.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0
STUD1391,20.0,2.0,2.0,7.0,1.0,9.0,1.0,2.0,7.0,2.0,5.0,2.0,4.0,1.0,1.0,3.0,2.0,5.0,1.0
STUD1392,29.0,2.0,2.0,4.0,1.0,6.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0
STUD1393,25.0,2.0,2.0,7.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0
STUD1394,15.0,2.0,1.0,7.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0
STUD1395,18.0,1.0,2.0,4.0,1.0,7.0,5.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0
STUD1396,19.0,4.0,2.0,7.0,2.0,9.0,5.0,2.0,7.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0
STUD1397,25.0,3.0,2.0,1.0,2.0,9.0,3.0,2.0,5.0,2.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,2.0
STUD1398,23.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,6.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0
STUD1399,28.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0
STUD1400,22.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,6.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0
STUD1401,21.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,6.0,2.0
STUD1402,19.0,1.0,3.0,4.0,2.0,8.0,2.0,1.0,4.0,2.0,5.0,1.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0
STUD1403,21.0,1.0,3.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0
STUD1404,29.0,1.0,3.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0
STUD1405,17.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0
STUD1406,16.0,3.0,2.0,2.0,2.0,6.0,2.0,1.0,4.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0
STUD1407,13.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0
STUD1408,29.0,2.0,2.0,4.0,2.0,7.0,3.0,1.0,5.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0
STUD1409,23.0,3.0,2.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0
STUD1410,20.0,3.0,3.0,1.0,1.0,8.0,4.0,2.0,6.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0
STUD1411,21.0,1.0,2.0,1.0,2.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,6.0,1.0
STUD1412,24.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,4.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0
STUD1413,24.0,1.0,2.0,7.0,1.0,7.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0
STUD1414,14.0,2.0,3.0,6.0,1.0,10.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,6.0,1.0
STUD1415,24.0,3.0,1.0,1.0,1.0,6.0,5.0,1.0,7.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0
STUD1416,12.0,2.0,2.0,3.0,2.0,5.0,4.0,2.0,6.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
STUD1417,21.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0
STUD1418,22.0,3.0,1.0,4.0,1.0,6.0,3.0,1.0,7.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0
STUD1419,25.0,1.0,3.0,5.0,2.0,10.0,3.0,2.0,7.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0
STUD1420,20.0,3.0,1.0,7.0,1.0,6.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0
STUD1421,15.0,1.0,2.0,4.0,2.0,7.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0
STUD1422,17.0,3.0,1.0,4.0,2.0,10.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0
STUD1423,22.0,4.0,1.0,2.0,2.0,10.0,1.0,2.0,5.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0
STUD1424,21.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0,6.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0
STUD1425,17.0,3.0,2.0,2.0,2.0,8.0,3.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0
STUD1426,21.0,3.0,2.0,7.0,2.0,5.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,6.0,2.0
STUD1427,26.0,3.0,3.0,3.0,1.0,5.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0
STUD1428,13.0,1.0,1.0,3.0,1.0,6.0,5.0,1.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0
STUD1429,14.0,3.0,1.0,3.0,2.0,1.0,5.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0
STUD1430,30.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,7.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
STUD1431,22.0,4.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0
STUD1432,29.0,4.0,3.0,4.0,1.0,0.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0
STUD1433,25.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,6.0,3.0,5.0,1.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0
STUD1434,17.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,6.0,1.0
STUD1435,24.0,1.0,2.0,6.0,2.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,5.0,2.0,1.0,2.0,2.0,4.0,1.0
STUD1436,29.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,6.0,2.0
STUD1437,21.0,1.0,1.0,4.0,2.0,8.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0
STUD1438,27.0,4.0,1.0,7.0,2.0,6.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0
STUD1439,19.0,2.0,1.0,4.0,2.0,5.0,2.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0
STUD1440,21.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0
STUD1441,21.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,7.0,1.0,5.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0
STUD1442,27.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,5.0,1.0
STUD1443,22.0,3.0,2.0,2.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,6.0,1.0
STUD1444,24.0,3.0,2.0,3.0,1.0,9.0,2.0,2.0,6.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0
STUD1445,21.0,2.0,1.0,6.0,2.0,6.0,2.0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
STUD1446,18.0,2.0,2.0,1.0,2.0,5.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,6.0,2.0
STUD1447,23.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,7.0,1.0,5.0,2.0,5.0,2.0,2.0,2.0,1.0,6.0,1.0
STUD1448,15.0,1.0,2.0,7.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0
STUD1449,29.0,4.0,2.0,4.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0
STUD1450,26.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,6.0,1.0
STUD1451,22.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,6.0,1.0
STUD1452,30.0,1.0,2.0,4.0,2.0,7.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,2.0
STUD1453,26.0,4.0,3.0,7.0,2.0,8.0,5.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0
STUD1454,17.0,2.0,2.0,7.0,1.0,8.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,6.0,2.0
STUD1455,19.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,7.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
STUD1456,28.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,7.0,3.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,5.0,2.0
STUD1457,21.0,4.0,1.0,3.0,2.0,8.0,4.0,2.0,5.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0
STUD1458,29.0,3.0,2.0,4.0,2.0,10.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,6.0,2.0
STUD1459,13.0,1.0,2.0,6.0,1.0,10.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0
STUD1460,26.0,1.0,2.0,4.0,2.0,6.0,3.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0
STUD1461,19.0,2.0,1.0,5.0,2.0,2.0,5.0,1.0,7.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0
STUD1462,28.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,6.0,1.0
STUD1463,21.0,4.0,1.0,1.0,1.0,9.0,2.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0
STUD1464,20.0,3.0,2.0,4.0,1.0,7.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0
STUD1465,21.0,1.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,5.0,1.0
STUD1466,18.0,2.0,2.0,1.0,2.0,10.0,1.0,1.0,6.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0
STUD1467,30.0,1.0,2.0,5.0,1.0,9.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0
